statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10,Gini Coefficient,allHouse,Own,Rent,% Houses Owned,% Houses Rented,w,b,a,h,% White,% Black,% Asian,% Hispanic
17,5305_01,53,Census Tract 5305.01,53,17031530501,,530501,31,0.433,1763,918,845,0.520703347,0.479296653,0.7,99.3,0,0,0.007,0.993,0,0
17,5305_02,53,Census Tract 5305.02,53,17031530502,,530502,31,0.406,563,489,74,0.868561279,0.131438721,0,100,0,0,0,1,0,0
17,5305_03,53,Census Tract 5305.03,53,17031530503,,530503,31,0.407,1794,1547,247,0.862318841,0.137681159,0,96,0,0,0,0.96,0,0
17,5306,53,Census Tract 5306,53,17031530600,,530600,31,0.451,1297,653,644,0.503469545,0.496530455,1.6,98.4,0,0,0.016,0.984,0,0
17,5401_01,54,Census Tract 5401.01,54,17031540101,,540101,31,0.64,945,107,838,0.113227513,0.886772487,2.9,95.9,1.3,2.9,0.029,0.959,0.013,0.029
17,5401_02,54,Census Tract 5401.02,54,17031540102,,540102,31,0.493,1094,214,880,0.195612431,0.804387569,0.9,99.1,0,0,0.009,0.991,0,0
17,5501,55,Census Tract 5501,55,17031550100,,550100,31,0.417,2739,1892,847,0.690763052,0.309236948,78.5,5.4,0,38.8,0.785,0.054,0,0.388
17,5502,55,Census Tract 5502,55,17031550200,,550200,31,0.376,1091,1018,73,0.933088909,0.066911091,78.8,6.6,0,33.4,0.788,0.066,0,0.334
17,5601,56,Census Tract 5601,56,17031560100,,560100,31,0.5,292,180,112,0.616438356,0.383561644,67.5,7.2,8.6,50.3,0.675,0.072,0.086,0.503
17,5602,56,Census Tract 5602,56,17031560200,,560200,31,0.424,763,464,299,0.608125819,0.391874181,3.7,91.1,1.7,2.6,0.037,0.911,0.017,0.026
17,5603,56,Census Tract 5603,56,17031560300,,560300,31,0.371,945,897,48,0.949206349,0.050793651,50.9,9.3,6.2,48.8,0.509,0.093,0.062,0.488
17,5604,56,Census Tract 5604,56,17031560400,,560400,31,0.361,404,404,0,1,0,71.5,1.5,2.2,60.1,0.715,0.015,0.022,0.601
17,5607,56,Census Tract 5607,56,17031560700,,560700,31,0.403,1183,799,384,0.675401522,0.324598478,73.3,0,2.3,37.7,0.733,0,0.023,0.377
17,5608,56,Census Tract 5608,56,17031560800,,560800,31,0.383,2123,1600,523,0.753650495,0.246349505,82.1,0.7,0,29.6,0.821,0.007,0,0.296
17,5609,56,Census Tract 5609,56,17031560900,,560900,31,0.342,1844,1748,96,0.947939262,0.052060738,89.3,0,0.8,17.5,0.893,0,0.008,0.175
17,5610,56,Census Tract 5610,56,17031561000,,561000,31,0.345,1952,1723,229,0.882684426,0.117315574,85.9,0,0,19.7,0.859,0,0,0.197
17,5611,56,Census Tract 5611,56,17031561100,,561100,31,0.342,1990,1838,152,0.92361809,0.07638191,87.7,0,1.2,26.4,0.877,0,0.012,0.264
17,5701,57,Census Tract 5701,57,17031570100,,570100,31,0.411,381,231,150,0.606299213,0.393700787,70.9,0,0,71.1,0.709,0,0,0.711
17,5702,57,Census Tract 5702,57,17031570200,,570200,31,0.385,519,428,91,0.824662813,0.175337187,74.4,0,0,58.2,0.744,0,0,0.582
17,5703,57,Census Tract 5703,57,17031570300,,570300,31,0.377,1600,969,631,0.605625,0.394375,60.1,0,0,64.9,0.601,0,0,0.649
17,5704,57,Census Tract 5704,57,17031570400,,570400,31,0.405,408,235,173,0.575980392,0.424019608,41.4,0,0,71.1,0.414,0,0,0.711
17,5705,57,Census Tract 5705,57,17031570500,,570500,31,0.391,731,487,244,0.66621067,0.33378933,53.5,3.4,0,63.6,0.535,0.034,0,0.636
17,5801,58,Census Tract 5801,58,17031580100,,580100,31,0.422,818,432,386,0.528117359,0.471882641,46.7,3.2,9.2,69.8,0.467,0.032,0.092,0.698
17,5802,58,Census Tract 5802,58,17031580200,,580200,31,0.396,915,441,474,0.481967213,0.518032787,39.5,0,8.3,80.5,0.395,0,0.083,0.805
17,5803,58,Census Tract 5803,58,17031580300,,580300,31,0.348,576,340,236,0.590277778,0.409722222,41,0,2.6,92.5,0.41,0,0.026,0.925
17,5804,58,Census Tract 5804,58,17031580400,,580400,31,0.447,1235,620,615,0.502024291,0.497975709,48.5,0,5.7,71.5,0.485,0,0.057,0.715
17,5805_01,58,Census Tract 5805.01,58,17031580501,,580501,31,0.341,1447,628,819,0.434001382,0.565998618,50.8,0,5.5,77,0.508,0,0.055,0.77
17,5805_02,58,Census Tract 5805.02,58,17031580502,,580502,31,0.36,1225,643,582,0.524897959,0.475102041,58.5,2.8,10.8,59.8,0.585,0.028,0.108,0.598
17,5806,58,Census Tract 5806,58,17031580600,,580600,31,0.33,1540,631,909,0.40974026,0.59025974,57.1,4.6,6.4,75.3,0.571,0.046,0.064,0.753
17,5807,58,Census Tract 5807,58,17031580700,,580700,31,0.389,1477,693,784,0.469194313,0.530805687,57.2,0,4.5,77.4,0.572,0,0.045,0.774
17,5808,58,Census Tract 5808,58,17031580800,,580800,31,0.379,484,279,205,0.576446281,0.423553719,56.6,4.1,0,83.7,0.566,0.041,0,0.837
17,5905,59,Census Tract 5905,59,17031590500,,590500,31,0.32,634,334,300,0.52681388,0.47318612,50.3,0,10.6,56.2,0.503,0,0.106,0.562
17,5906,59,Census Tract 5906,59,17031590600,,590600,31,0.409,1193,657,536,0.55071249,0.44928751,54.1,2.3,10.2,49.7,0.541,0.023,0.102,0.497
17,5907,59,Census Tract 5907,59,17031590700,,590700,31,0.381,950,509,441,0.535789474,0.464210526,54.8,4.1,17.4,53.5,0.548,0.041,0.174,0.535
17,6004,60,Census Tract 6004,60,17031600400,,600400,31,0.382,1460,630,830,0.431506849,0.568493151,37.2,1.6,47.9,18.8,0.372,0.016,0.479,0.188
17,6006,60,Census Tract 6006,60,17031600600,,600600,31,0.493,939,469,470,0.499467519,0.500532481,49.1,0,27.1,26.7,0.491,0,0.271,0.267
17,6007,60,Census Tract 6007,60,17031600700,,600700,31,0.449,961,466,495,0.48491155,0.51508845,57.2,6.1,20.6,30.9,0.572,0.061,0.206,0.309
17,6009,60,Census Tract 6009,60,17031600900,,600900,31,0.462,1421,543,878,0.382125264,0.617874736,55.4,4.7,23.3,26,0.554,0.047,0.233,0.26
17,6103,61,Census Tract 6103,61,17031610300,,610300,31,0.386,1393,417,976,0.299353912,0.700646088,40.6,1.7,1.3,88.1,0.406,0.017,0.013,0.881
