Geography,Estimate; Median year structure built
5502,1963
5601,1953
5602,1954
5603,1955
5604,1958
5607,1959
5608,1957
5609,1956
5610,1957
5611,1956
5701,1957
5702,1957
5703,1939
5704,1939
5705,1959
5801,1939
5802,1939
5803,1939
5804,1939
5805.01,1939
5805.02,1939
5806,1939
5807,1939
5808,1939
5905,1939
5906,1939
5907,1939
6004,1939
6006,1939
6007,1939
6009,1939
6103,1939
6104,1939
6108,1939
6110,1939
6111,1939
6112,1939
6113,1939
6114,1939
6115,1939
6116,1939
6117,1939
6118,1939
6119,1939
6120,1939
6121,1939
6201,1952
6202,1960
6203,1955
6204,1954
6301,1940
6302,1939
6303,1939
6304,1944
6305,1939
6308,1942
6309,1950
6401,1964
6403,1958
6404,1962
6405,1967
6406,1961
6407,1949
6408,1951
6501,1952
6502,1953
6503.01,1954
6503.02,1952
6504,1956
6505,1962
6603.01,1951
6603.02,1950
6604,1943
6605,1947
6606,1951
6607,1948
6608,1948
6609,1949
6610,1947
6611,1955
6701,1939
6702,1939
6703,1939
6704,1939
6705,1939
6706,1939
6707,1939
6708,1939
6709,1939
6711,1939
6712,1939
6713,1939
6714,1939
6715,1939
6716,1939
6718,1939
6719,1939
6720,1945
6805,1943
6806,1939
6809,1972
6810,1939
6811,1939
6812,1939
6813,1939
6814,1939
6903,1946
6904,1939
6905,1941
6909,1939
6910,1939
6911,1939
6912,1942
6913,1939
6914,1939
6915,1951
7001,1958
7002,1958
7003.01,1957
7003.02,1961
7004.01,1956
7004.02,1958
7005.01,1956
7005.02,1959
7101,1939
7102,1939
7103,1939
7104,1944
7105,1939
7106,1939
7107,1939
7108,1939
7109,1952
7110,1939
7111,1939
7112,1953
7113,1948
7114,1950
7115,1944
7201,1939
7202,1939
7203,1939
7204,1954
7205,1950
7206,1939
7207,1939
7301,1961
7302.01,1945
7302.02,1944
7303,1949
7304,1953
7305,1954
7306,1946
7307,1951
7401,1954
7402,1956
7403,1954
7404,1955
7501,1956
7502,1940
7503,1953
7504,1954
7505,1944
7506,1955
7608.01,1973
7608.02,1968
7608.03,1969
7702.01,1979
7702.02,1972
7703,1964
7704,1968
7705,1981
7706.01,1957
7706.02,1968
7707,1965
7708,1959
7709.01,1960
7709.02,1971
8001,1952
8002,1954
8003,1943
8004,1939
8005,1940
8006,1939
8007,1952
8008,1968
8009,1958
8010,1959
8011,1939
8012,1942
8013,1939
8014,1959
8015,1965
8016.01,1977
8016.03,1973
8016.05,1974
8016.06,1974
8016.07,1978
8016.08,1977
8017.01,1964
8017.02,1964
8018,1957
8019.01,1985
8019.02,1959
8020.02,1959
8020.03,1968
8020.04,1976
8021,1954
8022,1965
8023,2002
8024.02,1981
8024.03,1985
8024.04,1978
8025.03,1973
8025.04,1965
8025.05,1979
8025.06,1961
8026.05,1982
8026.07,1956
8026.08,1976
8026.09,1974
8026.1,1966
8027.01,1967
8027.02,1974
8028.01,1961
8028.02,1956
8029,1963
8030.05,1971
8030.07,1976
8030.08,1973
8030.1,1976
8030.12,1985
8030.13,1976
8030.14,1979
8030.15,1979
8030.16,1972
8030.17,1981
8031,1958
8032,1962
8033,1972
8034,1958
8035,1964
8036.03,1982
8036.04,1975
8036.05,1976
8036.06,1977
8036.07,1965
8036.08,1982
8036.1,1984
8036.11,1977
8036.12,1978
8037.01,1980
8037.02,1974
8038,1957
8039.01,1977
8039.02,
8040,1959
8041.02,1978
8041.04,1980
8041.05,1975
8041.06,1979
8041.08,1977
8041.09,1973
8042.01,1977
8042.02,1978
8043.05,1976
8043.06,1958
8043.08,1993
8043.09,1967
8043.1,1988
8043.11,1998
8044.03,1986
8044.04,1979
8044.05,1983
8044.06,1987
8045.05,1979
8045.06,1985
8045.07,2000
8045.08,1974
8045.09,1975
8045.1,1968
8045.11,1973
8046.03,1975
8046.06,1981
8046.07,1978
8046.08,1976
8046.09,1986
8046.1,1979
8046.11,1977
8047.01,1976
8047.05,1976
8047.06,1968
8047.09,1973
8047.1,1974
8047.11,1978
8047.12,1979
8047.13,1976
8047.14,1968
8047.15,1975
8047.16,1980
8048.03,1979
8048.04,1979
8048.05,1971
8048.06,1973
8048.07,1968
8048.08,1971
8048.09,1973
8048.1,1974
8049.01,1958
8049.02,1964
8050.01,1960
8050.02,1972
8051.05,1976
8051.06,1973
8051.07,1975
8051.08,1970
8051.09,1969
8051.1,1973
8051.11,1967
8051.12,1966
8052.01,1963
8052.02,1961
8053.01,1964
8053.02,1956
8054.01,1958
8054.02,1956
8055.01,1960
8055.02,1954
8056,1939
8057.01,1961
8057.02,1959
8058.01,1960
8058.02,1960
8059.01,1969
8059.02,1964
8060.01,1971
8060.02,1970
8060.03,1967
8060.04,1968
8061.02,1965
8061.03,1958
